,series,SpeciesID,SamplePurpose,Latitude,Longitude,Easting,Northing,Elevation,Patch_loc
147,SNN114,PIPO,Chron,36.002254,-106.8470282,333527.4894,3985776.042,2650.099854,Interior
148,SNN115,QUGA,AGE,36.002705,-106.848733,333374.7685,3985828.986,2590.226807,Interior
149,SNN116,QUGA,AGE,36.002705,-106.848733,333374.7685,3985828.986,2590.226807,Interior
150,SNN117,PIPO,GC,36.0030455,-106.8481812,333425.2238,3985865.815,2673.399902,Interior
151,SNN118,PIPO,DD,36.00329383,-106.8534427,332951.4825,3985902.372,2665.399902,Interior
152,SNN12,PIPO,FS,36.006902,-106.859835,332382.9299,3986313.616,2788.855469,Exterior
153,SNN13,PIPO,FS,36.007033,-106.86013,332356.6177,3986328.656,2784.572998,Exterior
154,SNN14,PIPO,FS,36.007692,-106.860917,332287.0783,3986403.116,2785.962402,Exterior
155,SNN15,QUGA,AGE,36.00103,-106.846047,333613.3619,3985638.584,2624.66626,Interior
156,SNN16,QUGA,AGE,36.00103,-106.846047,333613.3619,3985638.584,2624.66626,Interior
157,SNN17,QUGA,AGE,36.00103,-106.846047,333613.3619,3985638.584,2624.66626,Interior
158,SNN18,QUGA,AGE,36.00103,-106.846047,333613.3619,3985638.584,2624.66626,Interior
159,SNN19,PIPO,FireScar,36.00267217,-106.8528692,333001.8655,3985832.426,2670.899902,Interior
160,SNN2,PIPO,FS,35.996727,-106.866785,331734.8692,3985196.854,2500.837891,Interior
161,SNN20,PIPO,FireScar,36.00244917,-106.8528473,333003.3692,3985807.651,2666,Interior
162,SNN21,POTR,AGE,36.003146,-106.853218,332971.4247,3985885.588,2691.008301,Interior
163,SNN22,POTR,AGE,36.003146,-106.853218,332971.4247,3985885.588,2691.008301,Interior
164,SNN23,ABCO,AGE,36.003146,-106.853218,332971.4247,3985885.588,2691.008301,Interior
165,SNN24,PSME,Chron,36.00324483,-106.8535237,332944.0778,3985897.075,2661.399902,Interior
166,SNN25,QUGA,AGE,36.004103,-106.852992,332993.815,3985991.363,2723.851074,Interior
167,SNN26,QUGA,AGE,36.004103,-106.852992,332993.815,3985991.363,2723.851074,Interior
168,SNN27,POTR,AGE,36.006711,-106.858002,332547.7425,3986289.276,2757.714844,Interior
169,SNN28,POTR,AGE,36.006711,-106.858002,332547.7425,3986289.276,2757.714844,Interior
170,SNN29,QUGA,AGE,36.006711,-106.858002,332547.7425,3986289.276,2757.714844,Interior
171,SNN3,QUGA,AGE,35.996618,-106.866842,331729.4992,3985184.861,2498.499023,Interior
172,SNN30,QUGA,AGE,36.006711,-106.858002,332547.7425,3986289.276,2757.714844,Interior
173,SNN31,PIPO,FireScar,36.00620617,-106.8562633,332703.3927,3986230.286,2698.799805,Interior
174,SNN32,PIPO,FireScar,36.00606817,-106.8561243,332715.6299,3986214.739,2697.799805,Interior
175,SNN33,PIPO,FireScar,36.00604317,-106.8562207,332706.888,3986212.131,2679.099854,Interior
176,SNN34,PIPO,FireScar,36.005925,-106.85629,332700.3918,3986199.141,2673.099854,Interior
177,SNN35,PIPO,FireScar,36.0065315,-106.8559312,332734.0141,3986265.806,2692.399902,Interior
178,SNN36,RONE,Chron,36.005664,-106.854978,332818.0985,3986167.935,2717.599854,Interior
179,SNN37,QUGA,Chron,36.00595667,-106.8552908,332790.5222,3986200.939,2706.699951,Interior
180,SNN38,QUGA,Chron,36.005989,-106.8553508,332785.1824,3986204.628,2706.599854,Interior
181,SNN39,QUGA,Chron,36.00600617,-106.8553625,332784.1641,3986206.553,2706.199951,Interior
182,SNN4,QUGA,AGE,35.996618,-106.866842,331729.4992,3985184.861,2498.499023,Interior
183,SNN40,QUGA,AGE,36.00221705,-106.8714836,331323.0046,3985814.006,2642.53,Interior
184,SNN41,QUGA,AGE,36.00221705,-106.8714836,331323.0046,3985814.006,2642.53,Interior
185,SNN42,JUSC,FireScar,36.00221233,-106.871604,331312.1417,3985813.691,2610.799805,Interior
186,SNN43,JUSC,FireScar,36.00203117,-106.8717967,331294.3856,3985793.928,2608.899902,Interior
187,SNN44,PIED,DD,36.001713,-106.8717248,331300.1887,3985758.508,2587.899902,Interior
188,SNN45,PIED,Chron,36.001422,-106.8705832,331402.4736,3985724.25,2573.299805,Interior
189,SNN46,QUGA,AGE,36.00110594,-106.8713313,331334.3657,3985690.483,2583.17,Interior
190,SNN47,JUSC,AGE,36.00110594,-106.8713313,331334.3657,3985690.483,2583.17,Interior
191,SNN48,QUGA,AGE,36.00110594,-106.8713313,331334.3657,3985690.483,2583.17,Interior
192,SNN49,PIPO,DD,36.00402233,-106.8724747,331237.5154,3986015.988,2663.299805,Exterior
193,SNN5,PIPO,FS,35.99702,-106.867384,331681.4944,3985230.392,2494.05957,Interior
194,SNN6,QUGA,AGE,36.00631,-106.86074,332300.1039,3986249.502,2758.191406,Interior
195,SNN7,QUGA,AGE,36.00631,-106.86074,332300.1039,3986249.502,2758.191406,Interior
196,SNN75,PIPO,DD,36.00501867,-106.8654872,331869.4708,3986114.433,2727.800049,Edge
197,SNN76,QUGA,AGE,36.003941,-106.865013,331909.9253,3985994.066,2687.397461,Interior
198,SNN77,QUGA,AGE,36.003941,-106.865013,331909.9253,3985994.066,2687.397461,Interior
199,SNN78,JUSC,Chron,36.003932,-106.8647193,331936.3797,3985992.56,2688,Interior
200,SNN79,PIPO,GC,36.00350083,-106.8650765,331903.2668,3985945.346,2653.699951,Interior
201,SNN8,POTR,AGE,36.00631,-106.86074,332300.1039,3986249.502,2758.191406,Interior
202,SNN80,PIPO,FireScar,36.00349567,-106.8652132,331890.934,3985945.009,2655,Interior
203,SNN81,QUGA,AGE,36.00351517,-106.8651833,331893.6705,3985947.121,2649.5,Interior
204,SNN82,QUGA,AGE,36.00351517,-106.8651833,331893.6705,3985947.121,2649.5,Interior
